PublishedDate,IndicatorType,Indicator,Tags,Source,ArticleTitle,ArticleURL,EvidenceTypes
2026/09/14,Domain,gitlab[.]com,"Threat Intel, Research, Vulnerability, Exploit, Patch, Supply Chain, Incident Response, Application Security, CVE-2026-85706",Rapid7,CVE-2026-85706: Critical GitLab Path Traversal Exploited in the Wild (https://www.rapid7.com/blog/post/etr-cve-2026-85706-critical-gitlab-path-traversal-exploited-in-the-wild),https://www.rapid7.com/blog/post/etr-cve-2026-85706-critical-gitlab-path-traversal-exploited-in-the-wild,linked_ioc_page
2026/09/14,Domain,find-postman[.]ddesdokww[.]workers[.]dev,"Malware, Threat Intel",Elastic,The extension you never installed: KREMLIN forges Chrome's own integrity checks to steal banking sessions (https://www.elastic.co/security-labs/threat-command/malicious-browser-extension-kremlin-banking-malware),https://www.elastic.co/security-labs/threat-command/malicious-browser-extension-kremlin-banking-malware,article_body
2026/09/14,Domain,exploit[.]in,"Threat Intel, Research, IOC, Malware",SOCRadar Blog,VectraRAT: An Undocumented Full-Stack MaaS Built From Scratch (https://socradar.io/blog/vectrarat-undocumented-stack-maas/),https://socradar.io/blog/vectrarat-undocumented-stack-maas/,article_body
2026/09/14,Domain,donalurdesconfeitos[.]site,"Malware, Threat Intel",Elastic,The extension you never installed: KREMLIN forges Chrome's own integrity checks to steal banking sessions (https://www.elastic.co/security-labs/threat-command/malicious-browser-extension-kremlin-banking-malware),https://www.elastic.co/security-labs/threat-command/malicious-browser-extension-kremlin-banking-malware,article_body
2026/09/14,Domain,connection[.]upgradeonline[.]site,"Malware, Threat Intel",Elastic,The extension you never installed: KREMLIN forges Chrome's own integrity checks to steal banking sessions (https://www.elastic.co/security-labs/threat-command/malicious-browser-extension-kremlin-banking-malware),https://www.elastic.co/security-labs/threat-command/malicious-browser-extension-kremlin-banking-malware,linked_ioc_page
2026/09/14,Domain,connection[.]timesmaluku[.]com,"Malware, Threat Intel",Elastic,The extension you never installed: KREMLIN forges Chrome's own integrity checks to steal banking sessions (https://www.elastic.co/security-labs/threat-command/malicious-browser-extension-kremlin-banking-malware),https://www.elastic.co/security-labs/threat-command/malicious-browser-extension-kremlin-banking-malware,article_body
2026/09/14,Domain,cheapzone[.]space,"Malware, Threat Intel",Elastic,The extension you never installed: KREMLIN forges Chrome's own integrity checks to steal banking sessions (https://www.elastic.co/security-labs/threat-command/malicious-browser-extension-kremlin-banking-malware),https://www.elastic.co/security-labs/threat-command/malicious-browser-extension-kremlin-banking-malware,"article_body, linked_ioc_page"
2026/09/14,Domain,californicationdetroit[.]com,"Malware, Threat Intel",Elastic,The extension you never installed: KREMLIN forges Chrome's own integrity checks to steal banking sessions (https://www.elastic.co/security-labs/threat-command/malicious-browser-extension-kremlin-banking-malware),https://www.elastic.co/security-labs/threat-command/malicious-browser-extension-kremlin-banking-malware,article_body
2026/09/14,Domain,akums[.]in,"Threat Intel, Research, IOC, Malware",SOCRadar Blog,VectraRAT: An Undocumented Full-Stack MaaS Built From Scratch (https://socradar.io/blog/vectrarat-undocumented-stack-maas/),https://socradar.io/blog/vectrarat-undocumented-stack-maas/,linked_ioc_page
2026/09/14,Domain,affordableonline[.]online,"Malware, Threat Intel",Elastic,The extension you never installed: KREMLIN forges Chrome's own integrity checks to steal banking sessions (https://www.elastic.co/security-labs/threat-command/malicious-browser-extension-kremlin-banking-malware),https://www.elastic.co/security-labs/threat-command/malicious-browser-extension-kremlin-banking-malware,"article_body, linked_ioc_page"
